,x1_len,x2_len,jac,label
90,13,13,0.42857142857142855,0.0
91,13,13,0.42857142857142855,0.0
92,13,11,0.0,1.0
93,13,11,0.0,1.0
94,13,11,0.0,1.0
95,13,11,0.0,1.0
96,13,11,0.0,1.0
97,13,11,0.0,1.0
98,13,11,0.0,1.0
99,13,11,0.0,1.0
100,13,11,0.0,1.0
101,13,11,0.0,1.0
102,13,11,0.0,1.0
103,13,11,0.0,1.0
104,13,2,0.0,1.0
105,13,7,0.0,1.0
106,13,6,0.0,1.0
107,13,7,0.0,1.0
108,13,7,0.0,1.0
109,13,7,0.0,1.0
110,13,4,0.0,1.0
111,13,3,0.0,1.0
112,13,2,0.0,1.0
113,13,2,0.0,1.0
114,13,3,0.0,1.0
115,13,4,0.0,1.0
116,13,3,0.0,1.0
117,13,2,0.0,1.0
118,13,2,0.0,1.0
119,13,3,0.0,1.0
120,9,4,0.0,1.0
121,9,3,0.0,1.0
122,9,2,0.0,1.0
123,9,2,0.0,1.0
124,9,3,0.0,1.0
125,17,4,0.0,1.0
126,17,3,0.0,1.0
127,17,2,0.0,1.0
128,17,2,0.0,1.0
129,17,3,0.0,1.0
130,7,4,0.0,1.0
131,7,6,0.0,1.0
132,8,4,0.0,1.0
133,8,3,0.0,1.0
134,8,2,0.0,1.0
135,8,2,0.0,1.0
136,8,3,0.0,1.0
137,11,4,0.0,1.0
138,11,3,0.0,1.0
139,11,2,0.0,1.0
140,11,2,0.0,1.0
141,11,3,0.0,1.0
142,6,6,0.16666666666666666,1.0
143,6,4,0.25,1.0
144,13,4,0.0,1.0
145,13,3,0.0,1.0
146,13,2,0.0,1.0
147,13,2,0.0,1.0
148,13,3,0.0,1.0
149,4,9,0.0,0.0
150,4,9,0.0,0.0
151,4,9,0.0,0.0
152,4,11,0.0,0.0
153,4,9,0.0,0.0
154,4,9,0.0,0.0
155,11,4,0.0,1.0
156,11,3,0.0,1.0
157,11,2,0.0,1.0
158,11,2,0.0,1.0
159,11,3,0.0,1.0
160,13,4,0.0,1.0
161,13,3,0.0,1.0
162,13,2,0.0,1.0
163,13,2,0.0,1.0
164,13,3,0.0,1.0
165,13,4,0.0,1.0
166,13,3,0.0,1.0
167,13,2,0.0,1.0
168,13,2,0.0,1.0
169,13,3,0.0,1.0
170,11,4,0.0,1.0
171,11,3,0.0,1.0
172,11,2,0.0,1.0
173,11,2,0.0,1.0
174,11,3,0.0,1.0
175,11,4,0.0,1.0
176,11,3,0.0,1.0
177,11,2,0.0,1.0
178,11,2,0.0,1.0
179,11,3,0.0,1.0
180,11,17,0.0,1.0
181,11,4,0.0,1.0
182,11,4,0.0,1.0
183,11,4,0.0,1.0
184,11,4,0.0,1.0
185,11,4,0.0,1.0
186,11,4,0.0,1.0
187,11,4,0.0,1.0
188,11,9,0.0,1.0
189,11,9,0.0,1.0
190,11,9,0.0,1.0
191,11,9,0.0,1.0
192,11,9,0.0,1.0
193,11,9,0.0,1.0
194,11,12,0.0,1.0
195,11,19,0.0,1.0
196,11,2,0.0,1.0
197,11,7,0.0,1.0
198,11,6,0.0,1.0
199,11,6,0.0,1.0
200,11,6,0.0,1.0
201,11,6,0.0,1.0
202,11,6,0.0,1.0
203,11,6,0.0,1.0
204,11,4,0.0,1.0
205,11,11,0.0,1.0
206,11,11,0.0,1.0
207,11,11,0.0,1.0
208,11,11,0.0,1.0
209,11,11,0.0,1.0
210,11,11,0.0,1.0
211,11,7,0.0,1.0
212,11,7,0.0,1.0
213,11,7,0.0,1.0
214,11,7,0.0,1.0
215,11,7,0.0,1.0
216,11,7,0.0,1.0
217,11,6,0.0,1.0
218,11,6,0.0,1.0
219,11,4,0.0,1.0
220,11,7,0.0,1.0
221,11,6,0.0,1.0
222,11,6,0.0,1.0
223,11,6,0.0,1.0
224,11,6,0.0,1.0
225,11,6,0.0,1.0
